,[S] Agent communautaire,[A] Formation pour AC,[A] Vélos pour AC,"[A] Equipement pour AC (bottes, imperméable, lampes torches, pile)",[A] Salaire pour AC,Date limite,[A] Téléphones pour AC,[A] Credit mensuel de Communication pour AC,Date limite ,[S] Superviseurs de proximité,[A] Formation de superviseurs de proximite,"[A] Equipements pour les superviseurs (bottes, imperméable, lampes torches, pile)",[A] Motos pour superviseurs,[A] Carburant de supervision ,Date limite,[A] Téléphone portable,[A] Credit mensuel de Communication par mois,Date limite,[S] Superviseurs de district,[A] Formation de superviseurs de district,"[A] Equipement pour supervisuer (bottes, imperméable, lampes torches, pile)",[A] Véhicule,[A] Carburant ssupervision de district ,Date limite,[A] Téléphone portable,[A] Credit mensuel de Communication (flotte),Date limite,[S]  Investigation et Epidemiologie,[A] Investigateurs nationaux,Date limite ,[A] Experts internationaux pour l'appui à la surveillance ,Date limite,[A] Vehicule pour les investigations des cas,[A] Carburant ,Date limite,"[S]  Surveillance transfrontalière (terrestre, maritime et aéroport, entrées et sorities des villes et les garevitures des viles)",[A] Postes frontaliers,[A] Formation pour agents,"[A] Equipement des postes frontièrs (Thermo flash, moto, telephone, boite pharmaceutique, EPI, tente, lit, matelas, kit de lavage des mains)",Date limite,[S]  Gestion des données,[A] Responsables prefectoraux de la gestion des données ,Date limite,[A] Suivi et Evaluation ,Date limite ,[S] Surveillance basée à l'hopital,[A] PPE et equipements,[A] Espace pour les cas d'isolations,[A] Formation et manuel de procédure  pour controler l'infection et pour les mesures à prendre en face d'un cas suspect. ,Date limite
 National ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CDC,En cours,OMS,En cours,,,, CDC/OMS ,En cours
Beyla,,OMS/CDC/USAID-Save the Children,OMS/CDC,OMS/CDC,OMS/CDC; USAID-Save the Children,En cours,UNFPA/Columbia Univ ,OMS/CDC,En cours,,OMS/CDC,OMS/CDC,OMS/CDC,OMS/CDC,En cours,OMS/CDC,OMS/CDC,En cours,,OMS/CDC,OMS/CDC,OMS/CDC,OMS/CDC,En cours,OMS/CDC,OMS/CDC,En cours,,OMS/CDC,En cours,OMS/CDC,En cours,OMS/CDC,OMS/CDC,En cours,,,,,,,OMS/CDC,En cours,,,,,,OMS/CDC; USAID/JHPIEGO (PI aux hopitaux et CS),En cours
Boffa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OMS/CDC,En cours,,,OMS/CDC,OMS/CDC,En cours,,,,,,,,,,,,,,OMS/CDC,En cours
Boké,,OMS/CDC,OMS/CDC,OMS/CDC,OMS/CDC,En cours,UNFPA/Columbia Univ ,OMS/CDC,En cours,,OMS/CDC,OMS/CDC,OMS/CDC,OMS/CDC,En cours,OMS/CDC,OMS/CDC,En cours,,OMS/CDC,OMS/CDC,OMS/CDC,OMS/CDC,En cours,OMS/CDC,OMS/CDC,En cours,,OMS/CDC,En cours,,En cours,OMS/CDC,OMS/CDC,En cours,,OMS/CDC,OMS/CDC,OMS/CDC,En cours,, ,,,,,,,OMS/CDC,En cours
Conakry,,OMS/CDC,OMS/CDC,OMS/CDC,OMS/CDC/ACF (per diem)/ Save the Children (70),"Save: 1er novembre; ACF: si besoin, appui possible dès début Décembre",UNFPA/Columbia Univ ,OMS/CDC/ACF/Save the Children (70),"Save the Children: 1er novembre; ACF: si besoin, appui possible dès début Décembre",,OMS/CDC,OMS/CDC,OMS/CDC,OMS/CDC/ACF,"ACF: si besoin, appui possible dès début Décembre",OMS/CDC,OMS/CDC/ACF; Save the Children (25),"Save: 1er novembre; ACF: si besoin, appui possible dès début Décembre",,OMS/CDC,OMS/CDC,OMS/CDC,OMS/CDC/ACF,"ACF: si besoin, appui possible dès début Décembre",OMS/CDC,OMS/CDC,"ACF: si besoin, appui possible dès début Décembre",,OMS/CDC,En cours,OMS/CDC,En cours,OMS/CDC,OMS/CDC,ACF: 3Déc (1 véhicule MCM Matoto Déc & Janv + 1 véhicule MCM Ratoma Déc),,OMS/CDC,OMS/CDC,OMS/CDC,En cours,,OMS/CDC,En cours,,,,,,OMS/CDC; USAID/JHPIEGO (PI aux hopitaux et CS),En cours
Coyah,,OMS/CDC/Plan,OMS/CDC/Plan,OMS/CDC/Plan,OMS/CDC/Plan,ACF: appui possible à partir de Janvier si besoin.,UNFPA/Columbia Univ ,OMS/CDC/Plan,ACF: appui possible à partir de Janvier si besoin.,,OMS/CDC/Plan,OMS/CDC/Plan,OMS/CDC/Plan,OMS/CDC/Plan/ACF,ACF: appui possible à partir de Janvier si besoin.,OMS/CDC/Plan,OMS/CDC/Plan/ACF,ACF: appui possible à partir de Janvier si besoin.,,OMS/CDC/Plan,OMS/CDC/Plan,OMS/CDC/Plan,OMS/CDC/Plan,ACF: appui possible à partir de Janvier si besoin.,OMS/CDC/Plan,OMS/CDC/Plan,ACF: appui possible à partir de Janvier si besoin.,,OMS/CDC,En cours,OMS/CDC/Plan,En cours,OMS/CDC,OMS/CDC,En cours,,,,,,,OMS/CDC/Plan,En cours,,,,,,OMS/CDC,En cours
Dabola ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OMS/CDC,En cours,,,OMS/CDC,OMS/CDC,En cours,,,,,,,,,,,,,,OMS/CDC,En cours
Dalaba,,OMS/CDC,OMS/CDC,OMS/CDC,OMS/CDC/ACF (perdiem),ACF: appui possible si besoin à partir du 12 Janvier.,UNFPA/Columbia Univ ,OMS/CDC/ACF,ACF: appui possible à partir du 12 Janvier.,,OMS/CDC,OMS/CDC,OMS/CDC,OMS/CDC/ACF,ACF: appui possible si besoin à partir du 12 Janvier.,OMS/CDC,OMS/CDC/ACF,ACF: appui possible si besoin à partir du 12 Janvier.,,OMS/CDC,OMS/CDC,OMS/CDC,OMS/CDC/ACF,ACF: appui possible si besoin à partir du 12 Janvier.,OMS/CDC,OMS/CDC,ACF: appui possible si besoin à partir du 12 Janvier.,,OMS/CDC,En cours,,En cours,OMS/CDC,OMS/CDC,En cours,,,,,,, ,,,,,,,OMS/CDC,En cours
Dinguiraye,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OMS/CDC,En cours,,,OMS/CDC,OMS/CDC,En cours,,,,,,,,,,,,,,OMS/CDC,En cours
Dubréka ,,OMS/CDC,OMS/CDC,OMS/CDC,OMS/CDC,En cours,UNFPA/Columbia Univ ,OMS/CDC,En cours,,OMS/CDC,OMS/CDC,OMS/CDC,OMS/CDC,En cours,OMS/CDC,OMS/CDC,En cours,,OMS/CDC,OMS/CDC,OMS/CDC,OMS/CDC,En cours,OMS/CDC,OMS/CDC,En cours,,OMS/CDC,En cours,OMS/CDC,En cours,OMS/CDC,OMS/CDC,En cours,,,,,,, ,,,,,,,OMS/CDC,En cours
Faranah*,,UNFPA 28,UNFPA 28,UNFPA 28,UNFPA 28,UNFPA:31 Decembre ,UNFPA/Columbia Univ,UNFPA,UNFPA:31 Decembre ,,UNFPA (2),UNFPA (2),UNFPA(2),UNFPA(2),UNFPA:31 Decembre ,UNFPA+Columbia Univ (2/3),UNFPA,UNFPA: 21 novembre,,,,,,,OMS/CDC,OMS/CDC,En cours,,OMS/CDC,En cours,OMS/CDC,,OMS/CDC,OMS/CDC,En cours,,,,,,,,,,,,,,OMS/CDC,En cours
Forecariah*,,OMS/CDC/Plan,OMS/CDC/Plan,OMS/CDC/Plan,OMS/CDC/Plan/ACF (perdiem),ACF: à partir du 22 Déc,UNFPA/Columbia Univ ,OMS/CDC/Plan/ACF,ACF: à partir du 22 Déc,,OMS/CDC/Plan,OMS/CDC/Plan,OMS/CDC/Plan,OMS/CDC/Plan/ACF,ACF: à partir du 22 Déc,OMS/CDC/Plan,OMS/CDC/Plan,ACF: à partir du 22 Déc,,OMS/CDC/Plan,OMS/CDC/Plan,OMS/CDC/Plan,OMS/CDC/Plan/ACF,ACF: à partir du 22 Déc,OMS/CDC,OMS/CDC,ACF: à partir du 22 Déc,,OMS/CDC,En cours,OMS/CDC,En cours,OMS/CDC,OMS/CDC,En cours,,ACF; OMS/CDC/Plan,ACF; OMS/CDC/Plan,ACF; OMS/CDC/Plan,ACF: à partir du 22 Déc,,OMS/CDC/Plan,En cours,,,,,,OMS/CDC; USAID/JHPIEGO (PI aux hopitaux et CS),En cours
Guéckédou*,,OMS/CDC/Plan/MSF,OMS/CDC/Plan/MSF,OMS/CDC/Plan/MSF,OMS/CDC/Plan/MSF,En cours,UNFPA/Columbia Univ ,OMS/CDC/Plan,En cours,,OMS/CDC/Plan/MSF,OMS/CDC/Plan/MSF,OMS/CDC/Plan,OMS/CDC/Plan,En cours,OMS/CDC/Plan,OMS/CDC/Plan,En cours,,OMS/CDC/Plan/MSF,OMS/CDC/Plan/MSF,OMS/CDC/Plan,OMS/CDC/Plan,En cours,OMS/CDC,OMS/CDC,En cours,,OMS/CDC,En cours,OMS/CDC,En cours,OMS/CDC,OMS/CDC,En cours,,OMS/CDC/Plan,OMS/CDC/Plan,OMS/CDC/Plan,En cours,,OMS/CDC/Plan,En cours,,,,,,OMS/CDC,En cours
Kankan ,,UNFPA (30)/CDC; USAID/Save the Children,UNFPA (30)/CDC,UNFPA (30)/CDC,UNFPA (30)/CDC; USAID/Save the Children,UNFPA:31 Decembre ,UNFPA/Columbia Univ ,UNFPA/CDC,UNFPA:31 Decembre ,,UNFPA(9)/CDC,UNFPA(9)/CDC,UNFPA(9)/CDC,UNFPA(9)/CDC,UNFPA:31 Decembre ,UNFPA+Columbia Univ (2/3),UNFPA/CDC,UNFPA: 10 novembre,,UNFPA/CDC,UNFPA/CDC,UNFPA/CDC,UNFPA/CDC,,OMS/CDC,OMS/CDC,En cours,,OMS/CDC,En cours,OMS/CDC,,OMS/CDC,OMS/CDC,En cours,,,,,,, ,,,,,,,OMS/CDC,En cours
Kérouané ,,UNFPA (80)/CDC,UNFPA (80)/CDC,UNFPA (80)/CDC,UNFPA (80)/CDC/Save the Children (25),Save the Children: 1er novembre; UNFPA:31 Decembre ,UNFPA/Columbia Univ ,UNFPA/CDC,UNFPA:31 Decembre ,,UNFPA(8)/CDC,UNFPA/CDC,UNFPA/CDC,UNFPA/CDC,UNFPA:31 Decembre ,UNFPA+Columbia Univ (2/3),UNFPA/CDC,UNFPA: 1er novembre,,UNFPA/CDC,UNFPA/CDC,UNFPA/CDC,UNFPA/CDC,En cours,OMS/CDC,OMS/CDC,En cours,,OMS/CDC,En cours,OMS/CDC,,OMS/CDC,OMS/CDC,En cours,,,,,,,OMS/CDC,En cours,,,,,,OMS/CDC,En cours
Kindia,,OMS/CDC,OMS/CDC,OMS/CDC,OMS/CDC,En cours,UNFPA/Columbia Univ ,OMS/CDC,En cours,,OMS/CDC,OMS/CDC,OMS/CDC,OMS/CDC,En cours,OMS/CDC,OMS/CDC,En cours,,OMS/CDC,OMS/CDC,OMS/CDC,OMS/CDC,En cours,OMS/CDC,OMS/CDC,En cours,,OMS/CDC,En cours,OMS/CDC,En cours,OMS/CDC,OMS/CDC,En cours,,,,,,, ,,,,,,,OMS/CDC,En cours
Kissidougou,,,,,,,,,,,,,,,,,,,,,,,,,OMS/CDC,OMS/CDC,En cours,,OMS/CDC,En cours,OMS/CDC,,OMS/CDC,OMS/CDC,En cours,,,,,,,,,,,,,,OMS/CDC,En cours
Koubia,,,,,,,,,,,,,,,,,,,,,,,,,OMS/CDC,OMS/CDC,En cours,,OMS/CDC,En cours,,,OMS/CDC,OMS/CDC,En cours,,,,,,,,,,,,,,OMS/CDC,En cours
Kouroussa ,,UNFPA (20)/CDC; USAID-Save the Children,UNFPA (20)/CDC,UNFPA (20)/CDC,UNFPA (20)/CDC; USAID-Save the Children,UNFPA:31 Decembre ,UNFPA/Columbia Univ ,UNFPA/CDC,UNFPA:31 Decembre ,,UNFPA(2)/CDC,UNFPA(2)/CDC,UNFPA(2)/CDC,UNFPA(2)/CDC,UNFPA:31 Decembre ,UNFPA+Columbia Univ (2/3),UNFPA/CDC,UNFPA: 15 novembre 2014,,UNFPA/CDC,UNFPA/CDC,UNFPA/CDC,UNFPA/CDC,,OMS/CDC,OMS/CDC,En cours,,OMS/CDC,En cours,UNFPA/CDC/OMS,,OMS/CDC,OMS/CDC,En cours,,,,,,, ,,,,,,,OMS/CDC,En cours
Labé,,UNFPA/CDC,UNFPA/CDC,UNFPA/CDC,UNFPA/CDC/ACF(perdiem),"UNFPA: 10 decembre 2014
ACF: appui possible si besoin à partir du 15 Décembre",UNFPA/Columbia Univ ,UNFPA/CDC/ACF,"UNFPA: 10 decembre 2014
ACF: appui possible si besoin à partir du 5 janvier",,UNFPA/CDC,UNFPA/CDC,UNFPA/CDC,UNFPA/CDC,"UNFPA: 10 decembre 2014
ACF: appui possible si besoin à partir du 5 janvier",UNFPA/CDC,UNFPA/CDC,"UNFPA: 10 decembre 2014
ACF: appui possible si besoin à partir du 5 janvier",,UNFPA/CDC,UNFPA/CDC,UNFPA/CDC,UNFPA/CDC,"UNFPA: 10 decembre 2014
ACF: appui possible si besoin à partir du 5 janvier",OMS/CDC,OMS/CDC,ACF: appui possible si besoin à partir du 5 janvier,,OMS/CDC,En cours,UNFPA/CDC,,OMS/CDC,OMS/CDC,En cours,,,,,,, ,,,,,,,OMS/CDC,En cours
Lola,,OMS/CDC/UNFPA,OMS/CDC/UNFPA,OMS/CDC/UNFPA,OMS/CDC/UNFPA,En cours,UNFPA/Columbia Univ ,OMS/CDC/UNFPA,En cours,,OMS/CDC/UNFPA,OMS/CDC/UNFPA,OMS/CDC/UNFPA,OMS/CDC/UNFPA,UNFPA:31 Decembre ,UNFPA+Columbia Univ (2/3),OMS/CDC/UNFPA,En cours,,OMS/CDC/UNFPA,OMS/CDC/UNFPA,OMS/CDC/UNFPA,OMS/CDC/UNFPA,En cours,OMS/CDC,OMS/CDC,En cours,,OMS/CDC,En cours,OMS/CDC/UNFPA,En cours,OMS/CDC,OMS/CDC,En cours,,,,,,, ,,,,,,,OMS/CDC,En cours
Macenta*,,OMS/UNFPA (100)/CDC/Plan,OMS/UNFPA (100)/CDC/Plan,OMS/UNFPA (100)/CDC/Plan,OMS/UNFPA (100)/CDC/Plan,UNFPA:31 Decembre ,UNFPA/Columbia Univ ,OMS/UNFPA/CDC/Plan,UNFPA:31 Decembre ,,OMS/UNFPA (10)/CDC/Plan,OMS/UNFPA (10)/CDC/Plan,OMS/UNFPA (10)/CDC/Plan,OMS/UNFPA (10)/CDC/Plan,UNFPA:31 Decembre ,UNFPA+Columbia Univ (2/3),OMS/UNFPA/CDC/Plan,UNFPA: 15 novembre 2014,,OMS/UNFPA/CDC/Plan,OMS/UNFPA/CDC/Plan,OMS/UNFPA/CDC/Plan,OMS/UNFPA/CDC/Plan,En cours,OMS/CDC,OMS/CDC,En cours,,OMS/CDC,En cours,OMS/UNFPA/CDC/Plan,En cours,OMS/CDC,OMS/CDC,En cours,,,,,,,OMS/UNFPA/CDC/Plan,En cours,,,,,,OMS/CDC,En cours
Mali ,,,,,,,,,,,,,,,,,,,,,,,,,OMS/CDC,OMS/CDC,En cours,,OMS/CDC,En cours,,,OMS/CDC,OMS/CDC,En cours,,,,,,,,,,,,,,OMS/CDC,En cours
Mamou*,,,,,,,,,,,,,,,,,,,,,,,,,OMS/CDC,OMS/CDC,En cours,,OMS/CDC,En cours,,,OMS/CDC,OMS/CDC,En cours,,,,,,,,,,,,,,OMS/CDC,En cours
Mandiana,,,,,,,,,,,,,,,,,,,,,,,,,OMS/CDC,OMS/CDC,En cours,,OMS/CDC,En cours,,,OMS/CDC,OMS/CDC,En cours,,,,,,,,,,,,,,OMS/CDC,En cours
Nzérékoré*,,UNFPA(180)OMS/CDC/Plan,UNFPA(180)OMS/CDC/Plan,UNFPA(180)OMS/CDC/Plan,UNFPA(180)OMS/CDC/Plan/Save the Children (100),Save: en cours; UNFPA:31 Decembre ,UNFPA/Columbia Univ ,UNFPA/OMS/CDC/Plan,UNFPA:31 Decembre ,,UNFPA (18)/OMS/CDC/Plan,UNFPA (18)/OMS/CDC/Plan,UNFPA (18)/OMS/CDC/Plan,UNFPA (18)/OMS/CDC/Plan,UNFPA:31 Decembre ,UNFPA+Columbia Univ (2/3),UNFPA/OMS/CDC/Plan,UNFPA: 15 novembre 2014,,OMS/CDC/Plan,OMS/CDC/Plan,OMS/CDC/Plan,OMS/CDC/Plan,En cours,OMS/CDC,OMS/CDC,En cours,,OMS/CDC,En cours,OMS/CDC/Plan,En cours,OMS/CDC,OMS/CDC,En cours,,,,,,,OMS/CDC/Plan,En cours,,,,,,OMS/CDC,En cours
